text,Sentiment,label
RT Me he tomado un tiempo para traducir la estrategia de Apple y Google contra el coronavirus Espero que os guste https,positive,1
Apple 5G iphone innovation IoT digitaltwins,positive,1
Join 5 people right now at Huge iPhone 12 changes inside amp out leak in Apple 2020 roadmap report cheers,positive,1
Get Apple TV with best price and selection freeshipping to,positive,1
RT After June 30 many apps will be removed from the App Store How to find out if yours is in danger and how to keep it Our iO,positive,1
RT 50 OFF Sale You are gonna LOVE Leo THE PRINCE amp THE WEDDING PLANNER Kinde US Apple,positive,1
RT ipad pro 2020 12 9 ipadpro2020 apple ipadpro 2020 PLUVSong,positive,1
The latest technisch gesehen Thanks to google apple,positive,1
Find out about the Collab NewYorkCity podcast podcastlife anchor spotify apple google Bronx Alexa amazon,positive,1
Amazon Apple MagicKeyboard,positive,1
iPhone8 1 iPhone8Plus iPhone8 Apple iPhone iPhone8Plus,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
technews technology tech pro technologynews oneplus smartphone gadgets instatech android innovation,positive,1
Today s office COVID19 LockdownSA lockdown MondayMotivation Apple country,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Nuevo episodio de En este Podcast de CinemaTempo Historia y ochoas conver,positive,1
Put an X on it apple iphone,positive,1
Apple,positive,1
RT New OppoA92s Design OnePlus8Series OnePlus Samsung apple Google,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
DINO MAKER Make Dinos and Levels to share indiegame gamedev indiedev retro indievideogames ios indiegames,positive,1
Self Quarantine Portrait 04 13 20 quarantinelife covid 19 coronavirus aarongrayum art nashville,positive,1
Apple and Google join forces to develop Contact Tracing app against Coronavirus,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus securitya,positive,1
RT tk NO 2749 apple IPHONE,positive,1
RT No This is not a picture of me feeding AlbertTheTortoise tortoise turtle childrensbooks writer pic,positive,1
Is this true,positive,1
RT An excerpt from my article Google s Disturbing Attempt to Change Behavior During a Pandemic Regarding Google amp now Ap,negative,0
RT Monday Apple deals are here Pick up a 2020 Mac mini for 729 check out s Apple sale with prices as low as 80,positive,1
RT CM AirPods iPhone Apple AirPods,positive,1
RT Apple Google Covid 19 1 Covid 19,positive,1
RT Here s another chance to enter the Apple MacBook Pro Competition to Win this amazing prize Retweet amp Followus to en,positive,1
RT 1 AirPods Pro 3 colofa URL URL,positive,1
RT Apple planning iPad like design for next generation of iPhones smaller HomePod Apple,positive,1
Another virus in the making is there no phone which I own fully Apple Google Privacy CoronaVirus,positive,1
Special report Inside a Naples ICU treating Coronavirus Android Apple BSkyB,positive,1
How To Use A Neutral Density Filter For Daytime Long Exposures CameraGear Apple,negative,0
COVID 19 voici comment le syst me de contact tracing d Apple et Google pourrait viter,positive,1
RT I want some now kombucha health wellness fitness antibiotic healthade pink lady ap,negative,0
Listening to the hold music for a call to Apple service Well done this music is jamming I could hang out on hold all day,positive,1
RT 1 RT DM 4 18,positive,1
TechNews Apple s new iCloud feature for iPhone iPad and Mac will have you kissing Dropbox goodbye Read the full,positive,1
Coronavirus Google Apple,positive,1
tracking the lockdown days on my iPhone apple iPhone covi d19 lockdown,positive,1
RT iPhone11 Pro iPhone11 Pro LINE,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus http,positive,1
Covid 19 mentale Canon casa iorestoacasa ugodeangelis apple blackandwhitephotography buona pasquetta a tutti,positive,1
RT 1 RT DM 4 18,positive,1
RT HappyEaster2020 FREE SciFi Romance eBook Apple Amazon Smashwor,positive,1
Secure IT management services for every big and small need info visit here business,positive,1
Apple and Google want to turn your phone into a Covid tracking machine,positive,1
WhoMakesTheCall breakingnews france24 RTnews nhk news AlJazeera bbc bbcnews tech Android npr nprnews,positive,1
RT From Cherry to plum apricot and apple Himachal has a long battle at hand COVID2019,negative,0
El sistema operativo iOS 13 4 1 result peor que la anterior se supone q es la versi n con covid 19 ios1341 ios apple marciano,positive,1
